dateTime,temperature
2018-11-10 23:30:00,21.48
2018-11-10 23:45:00,20.3225
2018-11-11 00:00:00,20.906315789473684
2018-11-11 00:15:00,21.330000000000002
2018-11-11 00:30:00,22.1775
2018-11-11 00:45:00,20.93
2018-11-11 01:00:00,23.09
2018-11-11 01:15:00,19.29
2018-11-11 01:30:00,19.32
2018-11-11 01:45:00,18.83
2018-11-11 02:00:00,19.54
2018-11-11 02:15:00,19.61
2018-11-11 02:30:00,18.41
2018-11-11 02:45:00,17.82
2018-11-11 03:00:00,18.29
2018-11-11 03:15:00,19.81
2018-11-11 03:30:00,19.88
2018-11-11 03:45:00,18.81
2018-11-11 04:00:00,18.9
2018-11-11 04:15:00,18.34
2018-11-11 04:30:00,18.93
2018-11-11 04:45:00,18.63
2018-11-11 05:00:00,20.34
2018-11-11 05:15:00,18.66
2018-11-11 05:30:00,19.44
2018-11-11 05:45:00,19.32
2018-11-11 06:00:00,18.98
2018-11-11 06:15:00,20.17
2018-11-11 06:30:00,19.17
2018-11-11 06:45:00,18.86
2018-11-11 07:00:00,18.61
2018-11-11 07:15:00,18.9
2018-11-11 07:30:00,19.56
2018-11-11 07:45:00,19.22
2018-11-11 08:00:00,19.15
2018-11-11 08:15:00,18.59
2018-11-11 08:30:00,18.86
2018-11-11 08:45:00,19.27
2018-11-11 09:00:00,18.95
2018-11-11 09:15:00,18.51
2018-11-11 09:30:00,19.39
2018-11-11 09:45:00,18.44
2018-11-11 10:00:00,20.36
2018-11-11 10:15:00,17.97
2018-11-11 10:30:00,18.98
2018-11-11 10:45:00,18.46
2018-11-11 11:00:00,20.91
2018-11-11 11:15:00,19.42
2018-11-11 11:30:00,19.1
2018-11-11 11:45:00,19.59
2018-11-11 12:00:00,18.44
2018-11-11 12:15:00,18.29
2018-11-11 12:30:00,16.68
2018-11-11 12:45:00,19.37
2018-11-11 13:00:00,15.69
2018-11-11 13:15:00,23.58
2018-11-11 13:30:00,17.64
2018-11-11 13:45:00,18.11
2018-11-11 14:00:00,21.8
2018-11-11 14:15:00,15.94
2018-11-11 14:30:00,17.43
2018-11-11 14:45:00,19.24
2018-11-11 15:00:00,18.5
2018-11-11 15:15:00,18.98
2018-11-11 15:30:00,21.32
2018-11-11 15:45:00,20.0
2018-11-11 16:00:00,21.46
2018-11-11 16:15:00,20.69
2018-11-11 16:30:00,21.07
2018-11-11 16:45:00,20.45
2018-11-11 17:00:00,21.93
2018-11-11 17:15:00,20.23
2018-11-11 17:30:00,21.05
2018-11-11 17:45:00,21.38
2018-11-11 18:00:00,21.81
2018-11-11 18:15:00,19.53
2018-11-11 18:30:00,20.88
2018-11-11 18:45:00,22.9
2018-11-11 19:00:00,19.58
2018-11-11 19:15:00,19.44
